well,sample,depth,aft_age,aft_age_stderr_min,aft_age_stderr_plus,length_mean,length_std
BKZ-01,BKZ01-1,1055,182.85,153.18,880.9,9.312222481,2.441424131
BKZ-01,BKZ01-2,1374,249.62,149.77,363.99,11.38775063,2.290417433
BKZ-01,BKZ01-3,2292.5,152.24,72.54,137.1,10.02509499,2.123560906
BKZ-01,BKZ01-4,2503,66.48,18.29,25.18,9.520295143,2.321234465
NDW-01,NDW01-1,2649.5,132.92,33.75,45.08,11.54055405,1.935521126
NDW-01,NDW01-2,2813,23.65,13.04,29.02,10.02190685,2.519965172
NDW-01,NDW01-3,1963.5,75.15164948,2.402837515,2.402837515,12.17000008,1.373544693
NDW-01,NDW01-4,2126.6,61.0976944,3.429599762,3.429599762,11.64359665,1.408172369
KDK-01,KDK01-1,430,367.1369629,37.68347931,37.68347931,12.87133408,1.607049108
KDK-01,KDK01-2,764.5,332.2868347,30.51238632,30.51238632,11.23274517,2.523382187
KDK-01,KDK01-3,1242.5,526.807312,63.02977753,63.02977753,11.95256042,2.028916597
KDK-01,KDK01-4,1859,164.6026764,15.63424015,15.63424015,10.41318226,1.688908696
KDK-01,KDK01-5,2126,127.1841278,13.39045048,13.39045048,10.1866188,2.224019289
WWK-01,WWK01-1,1068,159.9629974,74.90872955,74.90872955,,
WWK-01,WWK01-3,1478.5,216.9264221,41.74071884,41.74071884,,
WWK-01,WWK01-4,1527.5,288.3418579,21.88372231,21.88372231,,
WWK-01,WWK01-5,1693.5,245.686676,20.28066635,20.28066635,,
WWK-01,WWK01-6,2047.5,259.516571,39.26795197,39.26795197,,
WWK-01,WWK01-7,2830.5,8.949635506,2.257859707,2.257859707,,
WWK-01,WWK01-8,2999.5,24.89598846,9.125957489,9.125957489,,
WWK-01,WWK01-9,1465.980042,158.7628326,9.047078133,9.047078133,13.01038265,0.999772072