strat_unit,age_bottom,age_top,marine,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal
NUCT,2.59,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.1,0.1,0,0,0,0,0,0
NUMS,2.59,0,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.4,0.3,0,0,0,0,0,0
NUKO,4,2.59,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.1,0.1,0,0,0,0,0,0
NUOT,5.33,4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.1,0.1,0,0,0,0,0,0
NUIN,12,5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.1,0.1,0,0,0,0,0,0
NUVI,20.43,11.61,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.79,0.1,0.1,0,0,0,0,0,0
NUBA,17.6,7.25,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0.1,0.2,0,0,0,0,0,0
NMVF,28.4,17.6,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,1,0,0,0,0,0,0,0
NMRF,37.2,28.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,1,0,0,0,0,0,0
NLFF,55.8,40,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.2,0,0.8,0,0,0,0,0,0
NLLF,58.7,55.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.2,0,0.8,0,0,0,0,0,0
CKHM,65.5,61.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKMA,67.4,65.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKGP,73.7,67.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKVA,83.5,73.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKAK,84.8,83.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKGR,80,65.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
CKTX,99.1,92.9,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
SLDNA,157,133.9,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.39,0.3,0.3,0,0,0,0,0,0.01
ATBR,167.7,157,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.1,0.1,0.7,0,0,0,0,0
ATWD,178,167.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.2,0.2,0.6,0,0,0,0,0,0
ATPO,183,178,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,1,0,0,0,0,0,0
ATAL,199.6,183,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,1,0,0,0,0,0,0
ATRT,203.6,199.6,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,1,0,0,0,0,0,0
RNKP,232,203.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0,0.6,0,0,0,0.15,0.15,0
RNRO,245.9,240,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0,0,0,0,0.1,0
RNSO,246.2,245.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.5,0,0.5,0,0,0,0,0,0
RBMH,247.2,246.2,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0,0.2,0,0,0,0,0,0
RBMD,248,247.2,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0,0.2,0,0,0,0,0,0
RBMV,249.3,248,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0,0.2,0,0,0,0,0,0
RBSH,251,249.3,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
ROSL,266,260,FALSE,70,68,70,1,3.8,1.9,30,1,0,1,0,0,0,0,0,0,0,0
ZE,260,255,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.35,0.35,0,0,0.15,0.15,0
DCHS,309,305,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.2,0.5,0,0,0,0,0,0
DCDH,310,309,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.2,0.5,0,0,0,0,0,0
DCCU,312,310,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.2,0.7,0,0,0,0,0,0
NUKOR,3.9,2.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,1,0,0,0,0,0,0,0,0
NUKOS,3.9,2.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,1,0,0,0,0,0,0,0,0
NUKOB,4.5,3.9,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0.69,0,0,0,0,0,0.01
NUKOV,5.8,4.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,1,0,0,0,0,0,0,0
NUKOW,9.3,5.8,FALSE,70,68,70,1,3.8,1.9,30,1,0,1,0,0,0,0,0,0,0,0
NUBAV,13.4,11.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.2,0.2,0,0,0,0,0,0
NUBAK,19.9,16.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.2,0.2,0,0,0,0,0,0
NUBAU,13.4,11.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.2,0.2,0,0,0,0,0,0
NUBAL,20.9,16.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.2,0.2,0,0,0,0,0,0
NMVFS,22.4,21.9,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
NMVFO,23,22.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.3,0.6,0,0,0,0,0,0
NMVFV,27.7,23.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
NMRFT,30.5,29.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
NMRFC,34.8,30.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.15,0.1,0.75,0,0,0,0,0,0
NMRFS,35.4,34.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.3,0.1,0,0,0,0,0,0
NLFFB,42,40,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0.7,0,0,0,0,0,0
NLFFS,50.2,42,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.15,0.1,0.1,0,0.05,0,0,0
NLFFM,50.2,42,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.1,0.6,0,0,0.3,0,0,0
NLFFY,55.1,50.2,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.3,0.6,0,0,0,0,0,0
NLFFD,55.4,55.1,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
NLFFC,55.1,37.9,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.2,0,0.8,0,0,0,0,0,0
NLLFR,57.8,56,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.35,0.65,0,0,0,0,0,0,0
NLLFC,58,57.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.1,0.6,0,0,0.2,0,0,0
NLLFG,58.4,58,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.3,0,0,0.7,0,0,0
NLLFS,58.8,58.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
NLLFL,59,58.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.6,0,0.4,0,0,0,0,0,0
ATBRO,159.15,156.65,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,1,0,0,0,0,0
ATBRU,161.2,159.15,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0,0,0,0.7,0,0,0
ATBR3,162.8,161.2,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0,0.7,0,0,0,0,0
ATBRM,164,162.8,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0,0,0,0.7,0,0,0
ATBR2,164.7,164,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0,0.6,0,0.1,0,0,0
ATBRL,165.4,164.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0,0.1,0,0.6,0,0,0
ATBR1,168.2,165.4,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0.3,0,0.7,0,0,0
ATWDU,170.1,168.2,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.7,0,0,0.3,0,0,0
ATWDM,170.6,170.1,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.6,0,0,0,0.1,0,0,0
ATWDL,177.6,170.6,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0.1,0,0,0,0,0
RNKPU,207.2,203.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.1,0.5,0,0,0.3,0,0,0
RNKPD,211.4,207.2,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.2,0,0.5,0,0.1,0.1,0.1,0,0
RNKPR,213.6,211.4,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.1,0.6,0,0,0.3,0,0,0
RNKPE,220.1,213.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.25,0.55,0,0,0,0.1,0.1,0
RNKPM,221.5,220.1,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.3,0.5,0,0,0,0.1,0,0
RNKPS,225.6,221.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.4,0,0,0,0.5,0.1,0
RNKPL,233.5,225.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0,0.5,0,0.3,0,0.1,0,0
RNKPC,221.5,203.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.05,0.15,0.6,0,0,0.15,0.05,0,0
RNMUU,237,233.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0.3,0.6,0.1,0,0,0
RNMUA,238.9,237,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.1,0,0,0.6,0.3,0,0
RNMUE,240.7,238.9,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0,0,0,0.3,0.7,0
RNMUL,244,240.7,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0.6,0.3,0.1,0,0,0
RNMUC,238.9,233.5,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.05,0.15,0.3,0.35,0.15,0,0
RNROY,244.7,244,TRUE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.3,0.5,0,0.05,0,0.05,0,0
RNROF,245,244.7,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
RNROL,245.5,245,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0,0,0,0.1,0,0
RNSOC,246,245.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0,0.7,0,0,0,0,0,0
RNSOB,246.2,246,FALSE,70,68,70,1,3.8,1.9,30,1,0,1,0,0,0,0,0,0,0,0
RBMDU,247.6,247.2,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.1,0.3,0,0,0,0,0,0
RBMDC,247.8,247.6,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0,0,0,0.1,0,0
RBMDL,248,247.8,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.3,0.1,0,0,0,0,0,0
RBMVU,248.5,248,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.6,0.3,0.1,0,0,0,0,0,0
RBMVC,248.7,248.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.6,0.3,0.1,0,0,0,0,0
RBMVL,249.3,248.7,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.7,0,0.3,0,0,0,0,0,0
RBSHR,250,249.3,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.1,0.5,0.05,0,0,0.05,0,0
RBSHM,251,250,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.3,0.1,0.56,0,0,0,0.04,0,0
RBSHN,251,249.3,FALSE,70,68,70,1,3.8,1.9,30,1,0.3,0.6,0,0.1,0,0,0,0,0,0
NUVIH,19,13.5,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.5,0,0,0,0,0,0,0,0.5
NUVIG,13.5,13,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0,0,0,0,0,0,0,1
NUBX,0.01,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.2,0.6,0.2,0,0,0,0,0,0
NUBE,0.78,0,FALSE,70,68,70,1,3.8,1.9,30,1,0.2,0.8,0,0,0,0,0,0,0,0
NUTEF,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.2,0.2,0.6,0,0,0,0,0,0
NUSY,1.81,0.13,FALSE,70,68,70,1,3.8,1.9,30,1,0.2,0.8,0,0,0,0,0,0,0,0
NUWA,2.6,0.13,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.8,0.2,0,0,0,0,0,0,0
NUEN,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.1,0.8,0.1,0,0,0,0,0,0
NUKOU,0,0,FALSE,70,68,70,1,3.8,1.9,30,1,0,0,0.1,0.8,0,0,0,0,0,0.1
NUST,0.78,0.01,FALSE,70,68,70,1,3.8,1.9,30,1,0,0.7,0.2,0.1,0,0,0,0,0,0
RNMU,240.7,237,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0,0.025,0.225,0.225,0.2,0.15,0.175,0
ZEUC,253,251,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.3,0.6,0.05,0,0,0.05,0,0
ZEZ3C,256,253,TRUE,70,68,70,1,3.8,1.9,30,1,0,0,0.05,0.15,0.35,0.35,0,0.1,0,0
