strat_unit,well,depth_top,depth_bottom,deposition_code,present-day_thickness,age_bottom,age_top,conglomerate,sand,silt,clay,limestone,dolomite,marl,anhydrite,halite,coal,provenance_age_start_1,provenance_age_end_1,provenance_age_start_2,provenance_age_end_2,provenance_age_start_3,provenance_age_end_3,provenance_age_start_4,provenance_age_end_4,density,surface_porosity,compressibility,thermal_conductivity,heat_capacity,heat_production,matrix_thickness,initial_thickness,eroded_thickness,maximum_depth_top,maximum_depth_bottom,maximum_depth_top_temp,maximum_depth_bottom_temp,maximum_burial_thickness_temp
-USM_a_0,,,,-1.0,0.0,0.5999999999999996,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,
-USM_a_1,,,,-1.0,0.0,1.1999999999999997,0.5999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_2,,,,-1.0,0.0,1.7999999999999998,1.1999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_3,,,,-1.0,0.0,2.3999999999999995,1.7999999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_4,,,,-1.0,0.0,2.9999999999999996,2.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-USM_a_5,,,,-1.0,0.0,3.5999999999999996,2.9999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_0,,,,-1.0,0.0,4.2,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_1,,,,-1.0,0.0,4.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_2,,,,-1.0,0.0,5.3999999999999995,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_3,,,,-1.0,0.0,6.0,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_4,,,,-1.0,0.0,6.6,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_5,,,,-1.0,0.0,7.199999999999999,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_6,,,,-1.0,0.0,7.8,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_7,,,,-1.0,0.0,8.4,7.800000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_8,,,,-1.0,0.0,9.0,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OMM_a_9,,,,-1.0,0.0,9.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_0,,,,-1.0,0.0,10.2,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_1,,,,-1.0,0.0,10.8,10.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_2,,,,-1.0,0.0,11.4,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
-OSM_a_3,,,,-1.0,0.0,12.0,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,,0.0,,
~+OSM_a_3--OSM_a_3,,,,0.0,0.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
+OSM_a_3,,,,1.0,0.0,14.0625,13.0,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,60.54378419059373,0.0,100.0,0.0,100.0,0.0,100.0,100.0
+OSM_a_2,,,,1.0,0.0,15.125,14.0625,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,62.559927179892924,0.0,100.0,100.0,200.0,100.0,200.0,100.0
+OSM_a_1,,,,1.0,0.0,16.1875,15.125,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,64.47304882084651,0.0,100.0,200.0,300.0,200.0,300.0,100.0
+OSM_a_0,,,,1.0,0.0,17.25,16.1875,0.1,0.3,0.3,0.1,0.2,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,19.35,17.35,30.0,1.0,2650.0,0.405,0.0005245,3.34,900.0,1.25e-06,66.28841332252665,0.0,100.0,300.0,400.0,300.0,400.0,100.0
+OMM_a_9,,,,1.0,0.0,17.425,17.25,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,72.52271119288092,0.0,100.0,400.0,500.0,400.0,500.0,100.0
+OMM_a_8,,,,1.0,0.0,17.6,17.425,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,73.73664026380406,0.0,100.0,500.0,600.0,500.0,600.0,100.0
+OMM_a_7,,,,1.0,0.0,17.775,17.599999999999998,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,74.8969387236586,0.0,100.0,600.0,700.0,600.0,700.0,100.0
+OMM_a_6,,,,1.0,0.0,17.95,17.775,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,76.00597593859004,0.0,100.0,700.0,800.0,700.0,800.0,100.0
+OMM_a_5,,,,1.0,0.0,18.125,17.95,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,77.06601659766068,0.0,100.0,800.0,900.0,800.0,900.0,100.0
+OMM_a_4,,,,1.0,0.0,18.3,18.125,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,78.07922533741647,0.0,100.0,900.0,1000.0,900.0,1000.0,100.0
+OMM_a_3,,,,1.0,0.0,18.475,18.3,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,79.04767116214317,0.0,100.0,1000.0,1100.0,1000.0,1100.0,100.0
+OMM_a_2,,,,1.0,0.0,18.65,18.474999999999998,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,79.97333166883851,0.0,100.0,1100.0,1200.0,1100.0,1200.0,100.0
+OMM_a_1,,,,1.0,0.0,18.825,18.65,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,80.85809708552824,0.0,100.0,1200.0,1300.0,1200.0,1300.0,100.0
+OMM_a_0,,,,1.0,0.0,19.0,18.825,0.1,0.72,0.05,0.05,0.08,0.0,0.0,0.0,0.0,0.0,70.0,68.0,70.0,1.0,21.1,19.1,30.0,1.0,2650.0,0.3367,0.00045185,3.426,900.0,1.25e-06,81.70377413117053,0.0,100.0,1300.0,1400.0,1300.0,1400.0,100.0
~+USM_a_5-+OMM_a_0,,,,0.0,0.0,23.799999999999997,19.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
+USM_a_5,,,,1.0,0.0,24.259999999999998,23.799999999999997,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,82.38486568188068,0.0,100.0,1400.0,1500.0,1400.0,1500.0,100.0
+USM_a_4,,,,1.0,0.0,24.72,24.259999999999998,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,83.4787333814841,0.0,100.0,1500.0,1600.0,1500.0,1600.0,100.0
+USM_a_3,,,,1.0,0.0,25.18,24.72,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,84.5046738928739,0.0,100.0,1600.0,1700.0,1600.0,1700.0,100.0
+USM_a_2,,,,1.0,0.0,25.64,25.18,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,85.46690537049439,0.0,100.0,1700.0,1800.0,1700.0,1800.0,100.0
+USM_a_1,,,,1.0,0.0,26.099999999999998,25.639999999999997,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,86.36938402909553,0.0,100.0,1800.0,1900.0,1800.0,1900.0,100.0
+USM_a_0,,,,1.0,0.0,26.56,26.099999999999998,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,87.21582040971032,0.0,100.0,1900.0,2000.0,1900.0,2000.0,100.0
USM_s_3,E40,0.0,100.0,1.0,100.0,27.02,26.56,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,88.00969463554362,100.0,0.0,2000.0,2100.0,2000.0,2100.0,100.0
USM_s_2,E40,100.0,200.0,1.0,100.0,27.48,27.02,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,88.75427072049973,104.60868957757111,0.0,2100.0,2200.0,2100.0,2200.0,100.0
USM_s_1,E40,200.0,300.0,1.0,100.0,27.939999999999998,27.48,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,89.45260998917485,108.92241727714134,0.0,2200.0,2300.0,2200.0,2300.0,100.0
USM,E40,300.0,400.0,1.0,100.0,28.4,27.939999999999998,0.05,0.28,0.05,0.37,0.2,0.0,0.0,0.05,0.0,0.0,70.0,68.0,70.0,1.0,30.5,28.5,30.0,1.0,2650.0,0.4462,0.0006411,3.1700000000000004,900.0,1.25e-06,90.10758366349388,112.9606200255684,0.0,2300.0,2400.0,2300.0,2400.0,100.0
